,,Similarity
スラッジの増加  ある,スラッジ  増加する,0.956920924604
摩擦熱  高い,高い摩擦熱  発生する,0.945143618552
異常摩耗の早期発見パラメータであるフェログラフィーのIs値  良好の範囲  ある,良好の範囲  異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗  ある,0.893803523472
摩耗  進行する,摩耗の進行  ある,0.857142857143
IR  新油のスペクトル  一致する,新油のスペクトル  一致する,0.85041595989
金属接触  検出する,金属接触  発生する,0.837923475607
検出されたケイ素  考える,ケイ素  検出する,0.832912828271
正常な潤滑状態  発生する,正常な潤滑状態  ある,0.827804566206
フレーキング  発生する,フレーキング  進行する,0.821828677136
酸価のデータ  水分  良好,全酸価のデータ  水分  良好,0.815495601926
摩耗の進行  ある,摩耗の進行  進行する,0.8
RBOTのデータ  粘度  IR  良好,RBOTのデータ  粘度  良好,0.78069723084
IRのデータ  水分  良好,IRのデータ  良好,0.77375181713
IRのデータ  粘度  良好,IRのデータ  良好,0.77375181713
軸受メタルの摩耗の進行  懸念する,軸受メタルの摩耗  進行する,0.765877069755
精密フィルタ  設置する,精密なフィルタの設置  設備  ある,0.760232895522
異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗  高い,異常摩耗の早期発見パラメータであるIs値がの乗  高い,0.754741122894
全酸価  粘度  良好,全酸価  良好,0.739241257297
全酸価  水分  良好,全酸価  良好,0.739241257297
ppm  錫  混入する,銅が  ppm  錫  混入する,0.7380014108
当社推奨の管理限界値  上昇する,当社推奨の管理限界値  粘度  上昇する,0.736320383943
鉄錆  混入する,鉄錆  検出する,0.727272727273
砂  検出する,混入した砂  検出する,0.720039157162
摩耗粒子  検出する,発生した摩耗粒子  検出する,0.714285714286
全酸価  粘度  良好,全酸価  粘度  IR  良好,0.707567447834
全酸価  水分  良好,全酸価のデータ  水分  良好,0.707567447834
NAS級  なる,NAS級  高い,0.698970004336
RBOTのデータ  粘度  良好,RBOTのデータ  水分  良好,0.698900267376
銅が  ppm  鉄  混入する,銅が  ppm  錫  混入する,0.694291405188
NAS級  当社推奨の管理限界値内  計数汚染度  ある,NAS級  当社推奨の管理限界値内  重量汚染度  ある,0.689592351699
異種油の混入  異なる,異種油の混入  考える,0.687625382839
金属接触  厳しい,金属接触  検出する,0.674051571622
金属接触  厳しい,金属接触  発生する,0.674051571622
良好の範囲  異常摩耗の早期発見パラメータであるフェログラフィーのIs値がのマイナス乗  ある,異常摩耗の早期発見パラメータであるフェログラフィーのIs値  良好の範囲  ある,0.667536335566
値  高い,高い値  なる,0.666666666667
フレーキング  発生する,フレーキング  懸念する,0.664070837644
当社推奨の管理限界値  上昇する,当社推奨の管理限界値  計数汚染度  上昇する,0.637925101761
フレーキング  懸念する,フレーキング  進行する,0.633661498173
IRのデータ  水分  良好,IRのデータ  粘度  良好,0.630991203851
酸価のデータ  粘度  良好,酸価のデータ  水分  良好,0.630991203851
外部  錫  混入する,銅が  外部  錫  混入する,0.63028935747
シビア粒子  検出する,シビア粒子  厳しい,0.625183191796
良好の範囲  異常摩耗の早期発見パラメータであるフェログラフィーのIs値がのマイナス乗  ある,良好の範囲  異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗  ある,0.618482772049
油中粒子の沈降の影響  受ける,油中粒子  沈降する,0.615784709459
IRのデータ  粘度  良好,RBOTのデータ  粘度  IR  良好,0.611561340951
摩耗  厳しい,摩耗  厳しい状態  なる,0.6
銅が  ppm  アンチモン  混入する,銅が  外部  アンチモン  混入する,0.591644159139
全酸価  水分  良好,全酸価  粘度  良好,0.586346326429
銅が  外部  鉄  混入する,銅が  外部  錫  混入する,0.584335691004
鉄錆  フィルタ表面の異物観察  検出する,砂  フィルタ表面の異物観察  検出する,0.574483149719
潤滑状態  ある,潤滑状態  なる,0.571428571429
この摩耗粒子  なる,摩耗粒子  検出する,0.571428571429
摩耗粒子  なる,摩耗粒子  検出する,0.571428571429
全酸価  粘度  良好,全酸価  ．粘度  良好,0.571324552904
良好の範囲  ないこと異常摩耗の早期発見パラメータであるフェログラフィーのIs値がのマイナス乗  ある,良好の範囲  異常摩耗の早期発見パラメータであるフェログラフィーのIs値がのマイナス乗  ある,0.570570988774
精密フィルタ  設置する,精密フィルタ  捕捉する,0.567231387015
RBOTのデータ  粘度  IR  良好,RBOTのデータ  水分  良好,0.564259082703
酸化防止剤  添加する,酸化防止剤  消耗する,0.556862946899
有機物・有機化合物のデータ  ．粘度  良好,有機物・有機化合物のデータ  酸化安定度  良好,0.555919801702
潤滑状態  良好,軸受の潤滑状態  良好,0.555555555556
黒錆  摩耗粒子の形態観察  検出する,黒錆  検出する,0.553176010375
濃度  上昇する,濃度  なる,0.550823104752
摩耗粒子異物  噛む,摩耗粒子異物の込み  発生する,0.549894933643
当社推奨の管理限界値  上昇する,当社推奨の管理限界値である±％  上昇する,0.546002688063
厳しい状態  ある,摩耗  厳しい状態  なる,0.545454545455
油中のスラッジ  なる,スラッジ  増加する,0.545407165889
当社推奨の管理限界値  計数汚染度  上昇する,計数汚染度  上昇する,0.543112347359
摩耗  水分の影響  進行する,摩耗  異物の影響  進行する,0.537156695253
IR  良好,IRのデータ  良好,0.536550509133
酸価のデータ  粘度  良好,全酸価のデータ  水分  良好,0.532704821423
銅が  ppm  鉄  混入する,銅が  ppm  アンチモン  混入する,0.530666802085
全酸価  粘度  IR  良好,全酸価  良好,0.523063049759
酸価のデータ  粘度  良好,全酸価  粘度  良好,0.523063049759
全酸価  水分  良好,酸価のデータ  水分  良好,0.523063049759
全酸価のデータ  水分  良好,全酸価  良好,0.523063049759
軸受メタル  深い,軸受メタルの摩耗  進行する,0.520113106246
当社推奨の管理限界値  計数汚染度  上昇する,当社推奨の管理限界値  粘度  上昇する,0.519295297101
鉄錆  フィルタ表面の異物観察  検出する,金属片  フィルタ表面の異物観察  検出する,0.516624658132
異物  噛む,異物  混入する,0.513770426821
フェログラフィーのIs値  厳しい,潤滑状態  フェログラフィーのIs値  なる,0.508354289801
砂  フィルタ表面の異物観察  検出する,金属片  フィルタ表面の異物観察  検出する,0.502307218507
錫  検出する,外部  錫  混入する,0.498600524796
精密なフィルタ  設備  常設する,精密なフィルタの設置  設備  ある,0.493601398891
潤滑油中の水分  上昇する,潤滑油中  錫  検出する,0.493237501406
濃度  増加する,濃度  なる,0.488292780876
銅が  ppm  アンチモン  混入する,銅が  ppm  錫  混入する,0.48552137758
摩擦係数  上昇する,摩擦係数  スラストメタル表面  上昇する,0.483383889341
RBOTのデータ  粘度  IR  良好,IRのデータ  良好,0.473196698847
外部  混入する,外部  錫  混入する,0.473114195936
銅が  ppm  錫  混入する,銅が  外部  錫  混入する,0.472164541376
IRのデータ  水分  良好,酸価のデータ  水分  良好,0.472109177682
酸価のデータ  粘度  良好,IRのデータ  粘度  良好,0.472109177682
発生した油中粒子  除去する,油中粒子  沈降する,0.467711347461
スラッジの増加  ある,油中のスラッジ  なる,0.464095887472
全酸価  粘度  IR  良好,全酸価  ．粘度  良好,0.462190197291
切削摩耗の原因  なる,切削摩耗  検出する,0.45871243875
フレーキング  発生する,フレーキング  ベアリング軌道面  発生する,0.457855655572
当社推奨の管理限界値である±％  上昇する,当社推奨の管理限界値  粘度  上昇する,0.456704988607
ppm  錫  混入する,銅が  ppm  鉄  混入する,0.456403879883
正常な潤滑状態  ある,正常の範囲  ある,0.452606306568
濃度  上昇する,濃度  増加する,0.447930987882
外部  混入する,外部  亜鉛  混入する,0.446465949684
この摩耗粒子  なる,発生した摩耗粒子  検出する,0.444444444444
摩耗  厳しい,厳しい状態  ある,0.444444444444
潤滑状態  厳しい,潤滑状態  ある,0.444444444444
摩耗粒子  なる,発生した摩耗粒子  検出する,0.444444444444
全酸価  粘度  良好,全酸価のデータ  水分  良好,0.441588102678
全酸価  水分  良好,全酸価  粘度  IR  良好,0.441588102678
銅が  外部  鉄  混入する,銅  検出する,0.436654602903
油  変色する,変色した原因  これらのこと  考える,0.43624279473
Is値  上昇する,Is値  なる,0.436208583971
亜鉛  劣化する,外部  亜鉛  混入する,0.433543504343
％のスラッジ  除去する,スラッジ  増加する,0.432399477989
異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗  高い,軸受の潤滑状態異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗  高い,0.431434461753
油中の汚染度  高い,汚染度  高い,0.428571428571
フレーキング  発生する,フレーキング  転動面  発生する,0.425909724201
油膜切れ  発生する,油膜切れ  ベアリング軌道面  発生する,0.425263675952
全酸価  ．粘度  良好,全酸価  良好,0.422346680814
油膜切れ  ベアリング軌道面  発生する,フレーキング  ベアリング軌道面  発生する,0.418160904688
ベアリング軌道面の疲労摩耗  発生する,油膜切れ  ベアリング軌道面  発生する,0.418160904688
鉄  粒子  含む,摩耗粒子  含む,0.417586273722
当社推奨の管理限界値  計数汚染度  上昇する,当社推奨の管理限界値である±％  上昇する,0.41682732569
IRのデータ  水分  良好,RBOTのデータ  粘度  IR  良好,0.4156811283
当社推奨の管理限界値のNAS級以内  計数汚染度  ある,当社推奨の管理限界値  計数汚染度  上昇する,0.415530092592
濃度  出る,濃度  なる,0.4154904744
IRのデータ  水分  良好,IR  良好,0.415156931424
IRのデータ  粘度  良好,IR  良好,0.415156931424
銅が  外部  鉄  混入する,銅が  外部  アンチモン  混入する,0.411724630262
軸受メタル  深い,軸受メタルの摩耗の進行  懸念する,0.410749348007
潤滑部  発生する,凝着摩耗  潤滑部  発生する,0.410401260691
酸価のデータ  粘度  良好,全酸価  粘度  IR  良好,0.404712067088
IRのデータ  粘度  良好,全酸価  粘度  IR  良好,0.404712067088
IRのデータ  水分  良好,全酸価のデータ  水分  良好,0.404712067088
銅が  ppm  鉄  混入する,銅が  外部  鉄  混入する,0.403279561964
フレーキング  ベアリング軌道面  発生する,フレーキング  進行する,0.402177696882
ベアリング軌道面の疲労摩耗  発生する,フレーキング  ベアリング軌道面  発生する,0.401543541208
摩耗  発生する,摩耗の進行  進行する,0.4
摩耗  発生する,摩耗  進行する,0.4
