Rule,Support,Confidence,Lift
銅 含む =>油の添加剤成分 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する カルシウム 検出する =>油の添加剤成分 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する ナトリウム 検出する =>油の添加剤成分 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する リン 検出する =>油の添加剤成分 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する 亜鉛 検出する =>油の添加剤成分 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する 粒子 検出する =>油の添加剤成分 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>油の添加剤成分 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する 鉄 検出する =>油の添加剤成分 含む,0.03571428571428571,1.0,28.0
カルシウム 検出する リン 検出する =>油の添加剤成分 含む,0.03571428571428571,1.0,28.0
カルシウム 検出する 粒子 検出する =>油の添加剤成分 含む,0.03571428571428571,1.0,28.0
カルシウム 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>油の添加剤成分 含む,0.03571428571428571,1.0,28.0
ナトリウム 検出する リン 検出する =>油の添加剤成分 含む,0.03571428571428571,1.0,28.0
ナトリウム 検出する 粒子 検出する =>油の添加剤成分 含む,0.03571428571428571,1.0,28.0
ナトリウム 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>油の添加剤成分 含む,0.03571428571428571,1.0,28.0
リン 検出する 粒子 検出する =>油の添加剤成分 含む,0.03571428571428571,1.0,28.0
リン 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>油の添加剤成分 含む,0.03571428571428571,1.0,28.0
亜鉛 検出する 粒子 検出する =>油の添加剤成分 含む,0.03571428571428571,1.0,28.0
亜鉛 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>油の添加剤成分 含む,0.03571428571428571,1.0,28.0
粒子 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>油の添加剤成分 含む,0.03571428571428571,1.0,28.0
粒子 検出する 鉄 検出する =>油の添加剤成分 含む,0.03571428571428571,1.0,28.0
良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある 鉄 検出する =>油の添加剤成分 含む,0.03571428571428571,1.0,28.0
油温 沈降速度 サイズ 変化する =>油温 cm程度 なる,0.03571428571428571,1.0,28.0
潤滑油 油温 撹拌する =>油温 cm程度 なる,0.03571428571428571,1.0,28.0
油温 cm程度 なる =>油温 沈降速度 サイズ 変化する,0.03571428571428571,1.0,28.0
潤滑油 油温 撹拌する =>油温 沈降速度 サイズ 変化する,0.03571428571428571,1.0,28.0
IRのデータ 良好の範囲 ある =>消泡剤の投与 シール部 砂 シール部 する,0.03571428571428571,1.0,28.0
シリコングリース シール部 塗布する =>消泡剤の投与 シール部 砂 シール部 する,0.03571428571428571,1.0,28.0
シリコングリース 潤滑油 混入する =>消泡剤の投与 シール部 砂 シール部 する,0.03571428571428571,1.0,28.0
シリコン系の添加剤 検出する =>消泡剤の投与 シール部 砂 シール部 する,0.03571428571428571,1.0,28.0
全酸価 良好の範囲 ある =>消泡剤の投与 シール部 砂 シール部 する,0.03571428571428571,1.0,28.0
潤滑油中 検出する =>消泡剤の投与 シール部 砂 シール部 する,0.03571428571428571,1.0,28.0
砂 フィルタ 検出する =>消泡剤の投与 シール部 砂 シール部 する,0.03571428571428571,1.0,28.0
砂 フィルタ表面の異物観察 検出する =>消泡剤の投与 シール部 砂 シール部 する,0.03571428571428571,1.0,28.0
砂 フェログラフィー 検出する =>消泡剤の投与 シール部 砂 シール部 する,0.03571428571428571,1.0,28.0
箇所 砂 ある =>消泡剤の投与 シール部 砂 シール部 する,0.03571428571428571,1.0,28.0
油温 cm程度 なる =>潤滑油 油温 撹拌する,0.03571428571428571,1.0,28.0
油温 沈降速度 サイズ 変化する =>潤滑油 油温 撹拌する,0.03571428571428571,1.0,28.0
IRのデータ 良好の範囲 ある =>潤滑油中 検出する,0.03571428571428571,1.0,28.0
シリコングリース シール部 塗布する =>潤滑油中 検出する,0.03571428571428571,1.0,28.0
シリコングリース 潤滑油 混入する =>潤滑油中 検出する,0.03571428571428571,1.0,28.0
シリコン系の添加剤 検出する =>潤滑油中 検出する,0.03571428571428571,1.0,28.0
全酸価 良好の範囲 ある =>潤滑油中 検出する,0.03571428571428571,1.0,28.0
消泡剤の投与 シール部 砂 シール部 する =>潤滑油中 検出する,0.03571428571428571,1.0,28.0
砂 フィルタ 検出する =>潤滑油中 検出する,0.03571428571428571,1.0,28.0
砂 フィルタ表面の異物観察 検出する =>潤滑油中 検出する,0.03571428571428571,1.0,28.0
砂 フェログラフィー 検出する =>潤滑油中 検出する,0.03571428571428571,1.0,28.0
箇所 砂 ある =>潤滑油中 検出する,0.03571428571428571,1.0,28.0
IRのデータ 良好の範囲 ある =>砂 フィルタ 検出する,0.03571428571428571,1.0,28.0
シリコングリース シール部 塗布する =>砂 フィルタ 検出する,0.03571428571428571,1.0,28.0
シリコングリース 潤滑油 混入する =>砂 フィルタ 検出する,0.03571428571428571,1.0,28.0
シリコン系の添加剤 検出する =>砂 フィルタ 検出する,0.03571428571428571,1.0,28.0
全酸価 良好の範囲 ある =>砂 フィルタ 検出する,0.03571428571428571,1.0,28.0
消泡剤の投与 シール部 砂 シール部 する =>砂 フィルタ 検出する,0.03571428571428571,1.0,28.0
潤滑油中 検出する =>砂 フィルタ 検出する,0.03571428571428571,1.0,28.0
砂 フィルタ表面の異物観察 検出する =>砂 フィルタ 検出する,0.03571428571428571,1.0,28.0
砂 フェログラフィー 検出する =>砂 フィルタ 検出する,0.03571428571428571,1.0,28.0
箇所 砂 ある =>砂 フィルタ 検出する,0.03571428571428571,1.0,28.0
IRのデータ 良好の範囲 ある =>砂 フィルタ表面の異物観察 検出する,0.03571428571428571,1.0,28.0
シリコングリース シール部 塗布する =>砂 フィルタ表面の異物観察 検出する,0.03571428571428571,1.0,28.0
シリコングリース 潤滑油 混入する =>砂 フィルタ表面の異物観察 検出する,0.03571428571428571,1.0,28.0
シリコン系の添加剤 検出する =>砂 フィルタ表面の異物観察 検出する,0.03571428571428571,1.0,28.0
全酸価 良好の範囲 ある =>砂 フィルタ表面の異物観察 検出する,0.03571428571428571,1.0,28.0
消泡剤の投与 シール部 砂 シール部 する =>砂 フィルタ表面の異物観察 検出する,0.03571428571428571,1.0,28.0
潤滑油中 検出する =>砂 フィルタ表面の異物観察 検出する,0.03571428571428571,1.0,28.0
砂 フィルタ 検出する =>砂 フィルタ表面の異物観察 検出する,0.03571428571428571,1.0,28.0
砂 フェログラフィー 検出する =>砂 フィルタ表面の異物観察 検出する,0.03571428571428571,1.0,28.0
箇所 砂 ある =>砂 フィルタ表面の異物観察 検出する,0.03571428571428571,1.0,28.0
IRのデータ 良好の範囲 ある =>砂 フェログラフィー 検出する,0.03571428571428571,1.0,28.0
シリコングリース シール部 塗布する =>砂 フェログラフィー 検出する,0.03571428571428571,1.0,28.0
シリコングリース 潤滑油 混入する =>砂 フェログラフィー 検出する,0.03571428571428571,1.0,28.0
シリコン系の添加剤 検出する =>砂 フェログラフィー 検出する,0.03571428571428571,1.0,28.0
全酸価 良好の範囲 ある =>砂 フェログラフィー 検出する,0.03571428571428571,1.0,28.0
消泡剤の投与 シール部 砂 シール部 する =>砂 フェログラフィー 検出する,0.03571428571428571,1.0,28.0
潤滑油中 検出する =>砂 フェログラフィー 検出する,0.03571428571428571,1.0,28.0
砂 フィルタ 検出する =>砂 フェログラフィー 検出する,0.03571428571428571,1.0,28.0
砂 フィルタ表面の異物観察 検出する =>砂 フェログラフィー 検出する,0.03571428571428571,1.0,28.0
箇所 砂 ある =>砂 フェログラフィー 検出する,0.03571428571428571,1.0,28.0
IRのデータ 良好の範囲 ある =>箇所 砂 ある,0.03571428571428571,1.0,28.0
シリコングリース シール部 塗布する =>箇所 砂 ある,0.03571428571428571,1.0,28.0
シリコングリース 潤滑油 混入する =>箇所 砂 ある,0.03571428571428571,1.0,28.0
シリコン系の添加剤 検出する =>箇所 砂 ある,0.03571428571428571,1.0,28.0
全酸価 良好の範囲 ある =>箇所 砂 ある,0.03571428571428571,1.0,28.0
消泡剤の投与 シール部 砂 シール部 する =>箇所 砂 ある,0.03571428571428571,1.0,28.0
潤滑油中 検出する =>箇所 砂 ある,0.03571428571428571,1.0,28.0
砂 フィルタ 検出する =>箇所 砂 ある,0.03571428571428571,1.0,28.0
砂 フィルタ表面の異物観察 検出する =>箇所 砂 ある,0.03571428571428571,1.0,28.0
砂 フェログラフィー 検出する =>箇所 砂 ある,0.03571428571428571,1.0,28.0
スラッジ 鉄 微細 =>表面 フィルタ表面の異物観察 当社推奨の管理限界値 なる,0.03571428571428571,1.0,28.0
スラッジの発生重量汚染度 上昇する =>表面 フィルタ表面の異物観察 当社推奨の管理限界値 なる,0.03571428571428571,1.0,28.0
リン 使用油である日石タービン 含む =>表面 フィルタ表面の異物観察 当社推奨の管理限界値 なる,0.03571428571428571,1.0,28.0
亜鉛 使用油である日石タービン 含む =>表面 フィルタ表面の異物観察 当社推奨の管理限界値 なる,0.03571428571428571,1.0,28.0
表面 茶褐色 当社推奨の管理限界値 なる =>表面 フィルタ表面の異物観察 当社推奨の管理限界値 なる,0.03571428571428571,1.0,28.0
軸受軌道面の油膜形成 及ぼす =>表面 フィルタ表面の異物観察 当社推奨の管理限界値 なる,0.03571428571428571,1.0,28.0
mg/ml 上昇する リン 検出する =>表面 フィルタ表面の異物観察 当社推奨の管理限界値 なる,0.03571428571428571,1.0,28.0
mg/ml 上昇する 亜鉛 検出する =>表面 フィルタ表面の異物観察 当社推奨の管理限界値 なる,0.03571428571428571,1.0,28.0
mg/ml 上昇する 鉄 検出する =>表面 フィルタ表面の異物観察 当社推奨の管理限界値 なる,0.03571428571428571,1.0,28.0
リン 検出する 当社推奨の管理限界値 上昇する =>表面 フィルタ表面の異物観察 当社推奨の管理限界値 なる,0.03571428571428571,1.0,28.0
亜鉛 検出する 当社推奨の管理限界値 上昇する =>表面 フィルタ表面の異物観察 当社推奨の管理限界値 なる,0.03571428571428571,1.0,28.0
当社推奨の管理限界値 上昇する 鉄 検出する =>表面 フィルタ表面の異物観察 当社推奨の管理限界値 なる,0.03571428571428571,1.0,28.0
スラッジ 鉄 微細 =>表面 茶褐色 当社推奨の管理限界値 なる,0.03571428571428571,1.0,28.0
スラッジの発生重量汚染度 上昇する =>表面 茶褐色 当社推奨の管理限界値 なる,0.03571428571428571,1.0,28.0
リン 使用油である日石タービン 含む =>表面 茶褐色 当社推奨の管理限界値 なる,0.03571428571428571,1.0,28.0
亜鉛 使用油である日石タービン 含む =>表面 茶褐色 当社推奨の管理限界値 なる,0.03571428571428571,1.0,28.0
表面 フィルタ表面の異物観察 当社推奨の管理限界値 なる =>表面 茶褐色 当社推奨の管理限界値 なる,0.03571428571428571,1.0,28.0
軸受軌道面の油膜形成 及ぼす =>表面 茶褐色 当社推奨の管理限界値 なる,0.03571428571428571,1.0,28.0
mg/ml 上昇する リン 検出する =>表面 茶褐色 当社推奨の管理限界値 なる,0.03571428571428571,1.0,28.0
mg/ml 上昇する 亜鉛 検出する =>表面 茶褐色 当社推奨の管理限界値 なる,0.03571428571428571,1.0,28.0
mg/ml 上昇する 鉄 検出する =>表面 茶褐色 当社推奨の管理限界値 なる,0.03571428571428571,1.0,28.0
リン 検出する 当社推奨の管理限界値 上昇する =>表面 茶褐色 当社推奨の管理限界値 なる,0.03571428571428571,1.0,28.0
亜鉛 検出する 当社推奨の管理限界値 上昇する =>表面 茶褐色 当社推奨の管理限界値 なる,0.03571428571428571,1.0,28.0
当社推奨の管理限界値 上昇する 鉄 検出する =>表面 茶褐色 当社推奨の管理限界値 なる,0.03571428571428571,1.0,28.0
高い値 なる =>計数汚染度 なる,0.03571428571428571,1.0,28.0
mg/ml 上昇する 当社推奨の管理限界値のNAS級以内 計数汚染度 ある =>計数汚染度 なる,0.03571428571428571,1.0,28.0
mg/ml 上昇する 計数汚染度 高い =>計数汚染度 なる,0.03571428571428571,1.0,28.0
当社推奨の管理限界値 上昇する 当社推奨の管理限界値のNAS級以内 計数汚染度 ある =>計数汚染度 なる,0.03571428571428571,1.0,28.0
当社推奨の管理限界値 上昇する 計数汚染度 高い =>計数汚染度 なる,0.03571428571428571,1.0,28.0
IRのデータ 水分 良好 =>計数汚染度 当社推奨の管理限界値内 水分 ある,0.03571428571428571,1.0,28.0
IRのデータ 粘度 良好 =>計数汚染度 当社推奨の管理限界値内 水分 ある,0.03571428571428571,1.0,28.0
全酸価 水分 良好 =>計数汚染度 当社推奨の管理限界値内 水分 ある,0.03571428571428571,1.0,28.0
全酸価 粘度 良好 =>計数汚染度 当社推奨の管理限界値内 水分 ある,0.03571428571428571,1.0,28.0
重量汚染度 水分 汚染する =>計数汚染度 当社推奨の管理限界値内 水分 ある,0.03571428571428571,1.0,28.0
フレッティング 発生する =>赤錆 検出する,0.03571428571428571,1.0,28.0
フレーキング 進行する =>赤錆 検出する,0.03571428571428571,1.0,28.0
スラッジ 鉄 微細 =>軸受軌道面の油膜形成 及ぼす,0.03571428571428571,1.0,28.0
スラッジの発生重量汚染度 上昇する =>軸受軌道面の油膜形成 及ぼす,0.03571428571428571,1.0,28.0
リン 使用油である日石タービン 含む =>軸受軌道面の油膜形成 及ぼす,0.03571428571428571,1.0,28.0
亜鉛 使用油である日石タービン 含む =>軸受軌道面の油膜形成 及ぼす,0.03571428571428571,1.0,28.0
表面 フィルタ表面の異物観察 当社推奨の管理限界値 なる =>軸受軌道面の油膜形成 及ぼす,0.03571428571428571,1.0,28.0
表面 茶褐色 当社推奨の管理限界値 なる =>軸受軌道面の油膜形成 及ぼす,0.03571428571428571,1.0,28.0
mg/ml 上昇する リン 検出する =>軸受軌道面の油膜形成 及ぼす,0.03571428571428571,1.0,28.0
mg/ml 上昇する 亜鉛 検出する =>軸受軌道面の油膜形成 及ぼす,0.03571428571428571,1.0,28.0
mg/ml 上昇する 鉄 検出する =>軸受軌道面の油膜形成 及ぼす,0.03571428571428571,1.0,28.0
リン 検出する 当社推奨の管理限界値 上昇する =>軸受軌道面の油膜形成 及ぼす,0.03571428571428571,1.0,28.0
亜鉛 検出する 当社推奨の管理限界値 上昇する =>軸受軌道面の油膜形成 及ぼす,0.03571428571428571,1.0,28.0
当社推奨の管理限界値 上昇する 鉄 検出する =>軸受軌道面の油膜形成 及ぼす,0.03571428571428571,1.0,28.0
IRのデータ 水分 良好 =>重量汚染度 水分 汚染する,0.03571428571428571,1.0,28.0
IRのデータ 粘度 良好 =>重量汚染度 水分 汚染する,0.03571428571428571,1.0,28.0
全酸価 水分 良好 =>重量汚染度 水分 汚染する,0.03571428571428571,1.0,28.0
全酸価 粘度 良好 =>重量汚染度 水分 汚染する,0.03571428571428571,1.0,28.0
計数汚染度 当社推奨の管理限界値内 水分 ある =>重量汚染度 水分 汚染する,0.03571428571428571,1.0,28.0
当社推奨の管理限界値のmg/ml以内 .mg/ml ある =>重量汚染度 良好,0.03571428571428571,1.0,28.0
ニッケル マンガン 含む =>鉄 含む,0.03571428571428571,1.0,28.0
バリウム 検出する =>鉄 含む,0.03571428571428571,1.0,28.0
マンガン クロム 含む =>鉄 含む,0.03571428571428571,1.0,28.0
油の添加剤成分 含む =>鉄 含む,0.03571428571428571,1.0,28.0
銅 含む =>鉄 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する カルシウム 検出する =>鉄 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する ナトリウム 検出する =>鉄 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する リン 検出する =>鉄 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する 亜鉛 検出する =>鉄 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する 粒子 検出する =>鉄 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>鉄 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する 鉄 検出する =>鉄 含む,0.03571428571428571,1.0,28.0
カルシウム 検出する リン 検出する =>鉄 含む,0.03571428571428571,1.0,28.0
カルシウム 検出する 粒子 検出する =>鉄 含む,0.03571428571428571,1.0,28.0
カルシウム 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>鉄 含む,0.03571428571428571,1.0,28.0
ナトリウム 検出する リン 検出する =>鉄 含む,0.03571428571428571,1.0,28.0
ナトリウム 検出する 粒子 検出する =>鉄 含む,0.03571428571428571,1.0,28.0
ナトリウム 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>鉄 含む,0.03571428571428571,1.0,28.0
リン 検出する 粒子 検出する =>鉄 含む,0.03571428571428571,1.0,28.0
リン 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>鉄 含む,0.03571428571428571,1.0,28.0
亜鉛 検出する 粒子 検出する =>鉄 含む,0.03571428571428571,1.0,28.0
亜鉛 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>鉄 含む,0.03571428571428571,1.0,28.0
粒子 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>鉄 含む,0.03571428571428571,1.0,28.0
粒子 検出する 鉄 検出する =>鉄 含む,0.03571428571428571,1.0,28.0
良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある 鉄 検出する =>鉄 含む,0.03571428571428571,1.0,28.0
ニッケル マンガン 含む =>銅 含む,0.03571428571428571,1.0,28.0
バリウム 検出する =>銅 含む,0.03571428571428571,1.0,28.0
マンガン クロム 含む =>銅 含む,0.03571428571428571,1.0,28.0
油の添加剤成分 含む =>銅 含む,0.03571428571428571,1.0,28.0
鉄 含む =>銅 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する カルシウム 検出する =>銅 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する ナトリウム 検出する =>銅 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する リン 検出する =>銅 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する 亜鉛 検出する =>銅 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する 粒子 検出する =>銅 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>銅 含む,0.03571428571428571,1.0,28.0
μm以下の疲労摩耗粒子 検出する 鉄 検出する =>銅 含む,0.03571428571428571,1.0,28.0
カルシウム 検出する リン 検出する =>銅 含む,0.03571428571428571,1.0,28.0
カルシウム 検出する 粒子 検出する =>銅 含む,0.03571428571428571,1.0,28.0
カルシウム 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>銅 含む,0.03571428571428571,1.0,28.0
ナトリウム 検出する リン 検出する =>銅 含む,0.03571428571428571,1.0,28.0
ナトリウム 検出する 粒子 検出する =>銅 含む,0.03571428571428571,1.0,28.0
ナトリウム 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>銅 含む,0.03571428571428571,1.0,28.0
リン 検出する 粒子 検出する =>銅 含む,0.03571428571428571,1.0,28.0
リン 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>銅 含む,0.03571428571428571,1.0,28.0
亜鉛 検出する 粒子 検出する =>銅 含む,0.03571428571428571,1.0,28.0
亜鉛 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>銅 含む,0.03571428571428571,1.0,28.0
粒子 検出する 良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある =>銅 含む,0.03571428571428571,1.0,28.0
粒子 検出する 鉄 検出する =>銅 含む,0.03571428571428571,1.0,28.0
良好の範囲 異常摩耗の早期発見パラメータであるIs値がの乗 ある 鉄 検出する =>銅 含む,0.03571428571428571,1.0,28.0
計数汚染度 なる =>高い値 なる,0.03571428571428571,1.0,28.0
mg/ml 上昇する 当社推奨の管理限界値のNAS級以内 計数汚染度 ある =>高い値 なる,0.03571428571428571,1.0,28.0
mg/ml 上昇する 計数汚染度 高い =>高い値 なる,0.03571428571428571,1.0,28.0
当社推奨の管理限界値 上昇する 当社推奨の管理限界値のNAS級以内 計数汚染度 ある =>高い値 なる,0.03571428571428571,1.0,28.0
当社推奨の管理限界値 上昇する 計数汚染度 高い =>高い値 なる,0.03571428571428571,1.0,28.0
スラッジ 鉄 微細 =>mg/ml 上昇する,0.03571428571428571,1.0,14.0
スラッジの発生重量汚染度 上昇する =>mg/ml 上昇する,0.03571428571428571,1.0,14.0
リン 使用油である日石タービン 含む =>mg/ml 上昇する,0.03571428571428571,1.0,14.0
亜鉛 使用油である日石タービン 含む =>mg/ml 上昇する,0.03571428571428571,1.0,14.0
表面 フィルタ表面の異物観察 当社推奨の管理限界値 なる =>mg/ml 上昇する,0.03571428571428571,1.0,14.0
表面 茶褐色 当社推奨の管理限界値 なる =>mg/ml 上昇する,0.03571428571428571,1.0,14.0
計数汚染度 なる =>mg/ml 上昇する,0.03571428571428571,1.0,14.0
軸受軌道面の油膜形成 及ぼす =>mg/ml 上昇する,0.03571428571428571,1.0,14.0
